"stationid","agg_grp","year","month","day","depth_m","decslat_ctr","decslon_ctr","subregion_depth","subregion_alongshore","use_pop_den_no_m2","use_biomass_den_kg_m2","biomass_den_kg_m3","pop_den_no_m3"
44,"large jellyfish",2003,10,15,36,27.184,-97.0535,"2_shelf","1_Tex",0,0,0,0
45,"large jellyfish",2003,10,15,21.2,27.456,-97.154,"2_shelf","1_Tex",0,0,0,0
46,"large jellyfish",2003,10,15,30.9,27.5425,-96.931,"2_shelf","1_Tex",0,0,0,0
47,"large jellyfish",2003,10,15,45.2,27.397,-96.8605,"2_shelf","1_Tex",0,0,0,0
48,"large jellyfish",2003,10,15,40.8,27.3095,-96.9495,"2_shelf","1_Tex",0,0,0,0
49,"large jellyfish",2003,10,16,29.1,27.601,-96.919,"2_shelf","1_Tex",0.0224507080464169,0.00767814215187458,0.22343393661955,0.653315604150732
51,"large jellyfish",2003,10,16,46,27.748,-96.548,"2_shelf","1_Tex",0,0,0,0
52,"large jellyfish",2003,10,16,31.5,27.81,-96.6725,"2_shelf","1_Tex",0,0,0,0
53,"large jellyfish",2003,10,16,25.4,27.8295,-96.766,"2_shelf","1_Tex",0,0,0,0
54,"large jellyfish",2003,10,16,86,27.605,-96.3705,"2_shelf","1_Tex",0,0,0,0
56,"large jellyfish",2003,10,16,91.3,27.7215,-95.928,"2_shelf","1_Tex",0,0,0,0
57,"large jellyfish",2003,10,17,36.4,28.0165,-96.2525,"2_shelf","1_Tex",0,0,0,0
58,"large jellyfish",2003,10,17,33,28.077,-96.234,"2_shelf","1_Tex",0,0,0,0
59,"large jellyfish",2003,10,17,12,28.155,-96.677,"1_inshore","1_Tex",0,0,0,0
60,"large jellyfish",2003,10,17,29.3,27.9685,-96.504,"2_shelf","1_Tex",0,0,0,0
61,"large jellyfish",2003,10,17,31.3,28.125,-96.124,"2_shelf","1_Tex",0,0,0,0
62,"large jellyfish",2003,10,17,29.6,28.146,-96.12,"2_shelf","1_Tex",0,0,0,0
63,"large jellyfish",2003,10,17,32.7,28.211,-95.8125,"2_shelf","1_Tex",0,0,0,0
64,"large jellyfish",2003,10,17,27.6,28.289,-95.7905,"2_shelf","1_Tex",0,0,0,0
65,"large jellyfish",2003,10,18,29.4,28.229,-95.903,"2_shelf","1_Tex",0,0,0,0
66,"large jellyfish",2003,10,18,45.2,28.19,-95.44,"2_shelf","1_Tex",0,0,0,0
67,"large jellyfish",2003,10,18,25,28.48,-95.6595,"2_shelf","1_Tex",0,0,0,0
68,"large jellyfish",2003,10,18,25.2,28.2955,-95.9165,"2_shelf","1_Tex",0,0,0,0
69,"large jellyfish",2003,10,18,14,28.621,-95.801,"1_inshore","1_Tex",0.0108511755557682,0.00371110204007271,0.0519554285610179,0.151916457780755
70,"large jellyfish",2003,10,18,19.6,28.5255,-95.704,"1_inshore","1_Tex",0.0232525190480746,0.00795236151444153,0.155866285683054,0.455749373342262
71,"large jellyfish",2003,10,18,17,28.6095,-95.62,"1_inshore","1_Tex",0.0434047022230727,0.0148444081602908,0.252354938724944,0.737879937792236
72,"large jellyfish",2003,10,18,12,28.734,-95.585,"1_inshore","1_Tex",0,0,0,0
73,"large jellyfish",2003,10,19,27.6,28.6605,-95.102,"2_shelf","1_Tex",0,0,0,0
74,"large jellyfish",2003,10,19,17,28.918,-95.201,"1_inshore","1_Tex",0.0217023511115363,0.00742220408014542,0.126177469362472,0.368939968896117
75,"large jellyfish",2003,10,19,13,28.7985,-95.402,"1_inshore","1_Tex",0.0116262595240373,0.00397618075722076,0.0516903498438699,0.151141373812485
76,"large jellyfish",2003,10,19,15,28.7235,-95.51,"1_inshore","1_Tex",0.0116262595240373,0.00397618075722076,0.0596427113583114,0.17439389286056
78,"large jellyfish",2003,10,19,36.4,28.296,-95.4205,"2_shelf","1_Tex",0.0108511755557682,0.00371110204007271,0.135084114258647,0.394982790229962
79,"large jellyfish",2003,10,19,58.9,27.988,-95.4785,"2_shelf","1_Tex",0,0,0,0
81,"large jellyfish",2003,10,19,73.3,27.94,-95.38,"2_shelf","1_Tex",0,0,0,0
82,"large jellyfish",2003,10,20,64,28.083,-94.837,"2_shelf","1_Tex",0,0,0,0
83,"large jellyfish",2003,10,20,40.2,28.324,-95.1015,"2_shelf","1_Tex",0,0,0,0
84,"large jellyfish",2003,10,20,45.5,28.2485,-95.2195,"2_shelf","1_Tex",0,0,0,0
85,"large jellyfish",2003,10,20,73.3,28.0165,-95.1595,"2_shelf","1_Tex",0,0,0,0
86,"large jellyfish",2003,10,20,35,NA,28.5215,"2_shelf","3_Fla",0,0,0,0
87,"large jellyfish",2003,10,21,35,28.5495,-94.613,"2_shelf","1_Tex",0,0,0,0
88,"large jellyfish",2003,10,21,33,28.612,-94.4715,"2_shelf","1_Tex",0,0,0,0
89,"large jellyfish",2003,10,21,26,28.7525,-94.585,"2_shelf","1_Tex",0,0,0,0
90,"large jellyfish",2003,10,21,22,28.809,-94.5825,"2_shelf","1_Tex",0,0,0,0
91,"large jellyfish",2003,10,21,23.8,28.875,-94.3775,"2_shelf","1_Tex",0,0,0,0
92,"large jellyfish",2003,10,21,38,28.5115,-94.3405,"2_shelf","1_Tex",0,0,0,0
94,"large jellyfish",2003,10,22,20.1,28.883,-94.764,"2_shelf","1_Tex",0,0,0,0
95,"large jellyfish",2003,10,22,18.3,29.0085,-94.9555,"1_inshore","1_Tex",0.0112253540232084,0.00383907107593729,0.0702550006896524,0.205423978624714
96,"large jellyfish",2003,10,22,14.4,29.1535,-94.8745,"1_inshore","1_Tex",0,0,0,0
97,"large jellyfish",2003,10,24,47.5,28.3435,-94.3145,"2_shelf","1_Tex",0,0,0,0
102,"large jellyfish",2003,10,24,48.3,28.314,-94.357,"2_shelf","1_Tex",0,0,0,0
106,"large jellyfish",2003,10,24,82.5,27.986,-94.4855,"2_shelf","1_Tex",0,0,0,0
107,"large jellyfish",2003,10,24,109.7,27.8975,-94.1055,"2_shelf","1_Tex",0,0,0,0
109,"large jellyfish",2003,10,25,93.3,27.915,-94.171,"2_shelf","1_Tex",0,0,0,0
110,"large jellyfish",2003,10,25,90.9,27.9425,-94.067,"2_shelf","1_Tex",0,0,0,0
111,"large jellyfish",2003,10,25,82.3,28.0125,-94.305,"2_shelf","1_Tex",0,0,0,0
112,"large jellyfish",2003,10,25,34.9,28.5965,-93.8925,"2_shelf","2_Lou",0,0,0,0
113,"large jellyfish",2003,10,25,22.3,28.9225,-94.1335,"2_shelf","1_Tex",0,0,0,0
114,"large jellyfish",2003,10,25,18.3,28.9885,-94.1045,"1_inshore","1_Tex",0,0,0,0
115,"large jellyfish",2003,10,25,24.1,28.931,-93.878,"2_shelf","2_Lou",0,0,0,0
116,"large jellyfish",2003,10,26,21.8,28.9475,-93.932,"2_shelf","2_Lou",0,0,0,0
117,"large jellyfish",2003,10,26,31.1,28.6565,-93.716,"2_shelf","2_Lou",0,0,0,0
118,"large jellyfish",2003,10,26,24,28.831,-93.508,"2_shelf","2_Lou",0,0,0,0
119,"large jellyfish",2003,10,26,21,29.02,-93.829,"2_shelf","2_Lou",0,0,0,0
121,"large jellyfish",2003,10,26,18.1,29.137,-93.9315,"1_inshore","2_Lou",0.0325535266673045,0.0111333061202181,0.201512840775948,0.589218832678212
124,"large jellyfish",2003,10,26,17,29.3435,-93.432,"1_inshore","2_Lou",0,0,0,0
125,"large jellyfish",2003,10,27,15,29.2685,-93.529,"1_inshore","2_Lou",0.101028186208876,0.0345516396834356,0.518274595251534,1.51542279313314
126,"large jellyfish",2003,10,27,20,29.186,-93.393,"1_inshore","2_Lou",0,0,0,0
128,"large jellyfish",2003,10,27,33,28.66,-93.398,"2_shelf","2_Lou",0,0,0,0
129,"large jellyfish",2003,10,27,34,28.6505,-93.41,"2_shelf","2_Lou",0,0,0,0
130,"large jellyfish",2003,10,27,30.9,28.6725,-93.4075,"2_shelf","2_Lou",0,0,0,0
132,"large jellyfish",2003,10,27,50.8,28.4355,-93.393,"2_shelf","2_Lou",0,0,0,0
133,"large jellyfish",2003,10,27,40,28.523,-93.631,"2_shelf","2_Lou",0,0,0,0
134,"large jellyfish",2003,10,27,45.4,28.4965,-93.6915,"2_shelf","2_Lou",0,0,0,0
135,"large jellyfish",2003,10,28,67.7,28.199,-93.7225,"2_shelf","2_Lou",0,0,0,0
139,"large jellyfish",2003,10,28,57.6,28.3355,-93.527,"2_shelf","2_Lou",0,0,0,0
144,"large jellyfish",2003,10,28,92,28.0595,-93.403,"2_shelf","2_Lou",0,0,0,0
145,"large jellyfish",2003,10,28,82.1,28.1395,-93.2,"2_shelf","2_Lou",0,0,0,0
147,"large jellyfish",2003,10,29,105.3,28.041,-92.5175,"2_shelf","2_Lou",0,0,0,0
149,"large jellyfish",2003,10,29,95,28.112,-92.294,"2_shelf","2_Lou",0,0,0,0
150,"large jellyfish",2003,10,29,101.7,28.0755,-92.0675,"2_shelf","2_Lou",0,0,0,0
152,"large jellyfish",2003,10,29,82.7,28.1525,-92.534,"2_shelf","2_Lou",0,0,0,0
154,"large jellyfish",2003,10,29,67.1,28.243,-92.543,"2_shelf","2_Lou",0,0,0,0
155,"large jellyfish",2003,10,30,64,28.2765,-92.6485,"2_shelf","2_Lou",0.0105011376346144,0.00359138907103811,0.229848900546439,0.672072808615322
158,"large jellyfish",2003,10,30,39.5,28.592,-93.1005,"2_shelf","2_Lou",0,0,0,0
159,"large jellyfish",2003,10,30,26.3,28.9055,-93.178,"2_shelf","2_Lou",0,0,0,0
160,"large jellyfish",2003,10,30,21.9,29.142,-92.7945,"2_shelf","2_Lou",0,0,0,0
161,"large jellyfish",2003,10,30,12.6,29.4985,-92.718,"1_inshore","2_Lou",0,0,0,0
162,"large jellyfish",2003,10,30,11,29.58,-92.8695,"1_inshore","2_Lou",0,0,0,0
163,"large jellyfish",2003,10,31,20.3,29.1735,-92.95,"2_shelf","2_Lou",0,0,0,0
164,"large jellyfish",2003,10,31,25.1,28.913,-92.904,"2_shelf","2_Lou",0,0,0,0
165,"large jellyfish",2003,10,31,36.2,28.656,-92.8355,"2_shelf","2_Lou",0,0,0,0
166,"large jellyfish",2003,10,31,54,28.5145,-92.4335,"2_shelf","2_Lou",0,0,0,0
168,"large jellyfish",2003,10,31,45.7,28.557,-92.3885,"2_shelf","2_Lou",0,0,0,0
169,"large jellyfish",2003,10,31,29,28.9005,-92.415,"2_shelf","2_Lou",0,0,0,0
170,"large jellyfish",2003,10,31,27.4,28.937,-92.422,"2_shelf","2_Lou",0,0,0,0
171,"large jellyfish",2003,10,31,14.1,29.125,-92.199,"1_inshore","2_Lou",0,0,0,0
172,"large jellyfish",2003,11,1,13,29.138,-92.1075,"1_inshore","2_Lou",0,0,0,0
173,"large jellyfish",2003,11,1,12,29.151,-92.261,"1_inshore","2_Lou",0,0,0,0
174,"large jellyfish",2003,11,1,17,29.1705,-92.412,"1_inshore","2_Lou",0,0,0,0
175,"large jellyfish",2003,11,1,29.3,28.9265,-92.511,"2_shelf","2_Lou",0,0,0,0
176,"large jellyfish",2003,11,1,34.2,28.786,-92.471,"2_shelf","2_Lou",0,0,0,0
177,"large jellyfish",2003,11,1,27.8,28.91,-92.2445,"2_shelf","2_Lou",0,0,0,0
178,"large jellyfish",2003,11,1,36,28.75,-92.2735,"2_shelf","2_Lou",0,0,0,0
180,"large jellyfish",2003,11,1,31.5,28.73,-91.831,"2_shelf","2_Lou",0,0,0,0
181,"large jellyfish",2003,11,1,34.9,28.651,-91.7045,"2_shelf","2_Lou",0,0,0,0
182,"large jellyfish",2003,11,2,40,28.543,-91.4095,"2_shelf","2_Lou",0,0,0,0
183,"large jellyfish",2003,11,2,62,28.336,-91.151,"2_shelf","2_Lou",0,0,0,0
184,"large jellyfish",2003,11,2,82.3,28.226,-91.018,"2_shelf","2_Lou",0.0116262595240373,0.00397618075722076,0.327239676319269,0.95684115882827
186,"large jellyfish",2003,11,2,112,28.1055,-91.1075,"2_shelf","2_Lou",0,0,0,0
187,"large jellyfish",2003,11,2,91.8,28.1855,-91.4375,"2_shelf","2_Lou",0,0,0,0
189,"large jellyfish",2003,11,2,112,28.115,-91.3955,"2_shelf","2_Lou",0,0,0,0
190,"large jellyfish",2003,11,2,55,28.4345,-91.4195,"2_shelf","2_Lou",0,0,0,0
191,"large jellyfish",2003,11,3,33.5,28.537,-91.14,"2_shelf","2_Lou",0,0,0,0
192,"large jellyfish",2003,11,3,24,28.601,-91.0565,"2_shelf","2_Lou",0,0,0,0
193,"large jellyfish",2003,11,3,25.6,28.648,-91.2855,"2_shelf","2_Lou",0,0,0,0
194,"large jellyfish",2003,11,3,11,28.892,-91.3255,"1_inshore","2_Lou",0,0,0,0
196,"large jellyfish",2003,11,3,18.1,28.9755,-91.767,"1_inshore","2_Lou",0,0,0,0
197,"large jellyfish",2003,11,3,15,28.993,-91.654,"1_inshore","2_Lou",0,0,0,0
198,"large jellyfish",2003,11,3,12,28.79,-91.1885,"1_inshore","2_Lou",0,0,0,0
199,"large jellyfish",2003,11,3,20.3,28.688,-91.248,"2_shelf","2_Lou",0,0,0,0
200,"large jellyfish",2003,11,3,64,28.338,-91.117,"2_shelf","2_Lou",0,0,0,0
201,"large jellyfish",2003,11,4,73.3,28.261,-90.892,"2_shelf","2_Lou",0,0,0,0
202,"large jellyfish",2003,11,4,45,28.3985,-90.725,"2_shelf","2_Lou",0,0,0,0
203,"large jellyfish",2003,11,4,35,28.4945,-90.927,"2_shelf","2_Lou",0,0,0,0
204,"large jellyfish",2003,11,4,29.6,28.5515,-91.03,"2_shelf","2_Lou",0,0,0,0
205,"large jellyfish",2003,11,4,21,28.617,-90.9345,"2_shelf","2_Lou",0,0,0,0
206,"large jellyfish",2003,11,4,18.1,28.647,-90.8605,"1_inshore","2_Lou",0,0,0,0
207,"large jellyfish",2003,11,4,16.5,28.6755,-91.0665,"1_inshore","2_Lou",0,0,0,0
208,"large jellyfish",2003,11,4,24,28.6065,-91.094,"2_shelf","2_Lou",0,0,0,0
209,"large jellyfish",2003,11,4,33.1,28.5065,-90.7955,"2_shelf","2_Lou",0,0,0,0
210,"large jellyfish",2003,11,4,38,28.4715,-90.7875,"2_shelf","2_Lou",0,0,0,0
211,"large jellyfish",2003,11,4,40.1,28.446,-90.7445,"2_shelf","2_Lou",0,0,0,0
212,"large jellyfish",2003,11,5,22,28.643,-90.479,"2_shelf","2_Lou",0,0,0,0
213,"large jellyfish",2003,11,5,16,28.889,-90.653,"1_inshore","2_Lou",0,0,0,0
214,"large jellyfish",2003,11,5,17,28.882,-90.642,"1_inshore","2_Lou",0,0,0,0
215,"large jellyfish",2003,11,5,12.6,28.984,-90.4475,"1_inshore","2_Lou",0,0,0,0
216,"large jellyfish",2003,11,5,14,29.1175,-90.0675,"1_inshore","2_Lou",0.0976605800019135,0.0333999183606544,0.467598857049162,1.36724812002679
217,"large jellyfish",2003,11,5,29,28.771,-90.2515,"2_shelf","2_Lou",0,0,0,0
218,"large jellyfish",2003,11,5,45,28.7325,-90.0785,"2_shelf","2_Lou",0,0,0,0
219,"large jellyfish",2003,11,5,74.2,28.769,-89.823,"2_shelf","2_Lou",0,0,0,0
220,"large jellyfish",2003,11,6,136,28.6835,-89.994,"2_shelf","2_Lou",0,0,0,0
221,"large jellyfish",2003,11,6,32,28.754,-90.2395,"2_shelf","2_Lou",0,0,0,0
222,"large jellyfish",2003,11,6,28.2,29.054,-89.885,"2_shelf","2_Lou",0,0,0,0
223,"large jellyfish",2003,11,6,29.3,29.042,-89.875,"2_shelf","2_Lou",0.0232525190480746,0.00795236151444153,0.233004192373137,0.681298808108586
224,"large jellyfish",2003,11,6,26,29.1015,-89.803,"2_shelf","2_Lou",0,0,0,0
225,"large jellyfish",2003,11,6,22.1,29.1275,-89.8255,"2_shelf","2_Lou",0,0,0,0
226,"large jellyfish",2003,11,6,79.9,28.812,-89.6225,"2_shelf","2_Lou",0,0,0,0
229,"large jellyfish",2003,11,6,44,28.976,-89.559,"2_shelf","2_Lou",0,0,0,0
230,"large jellyfish",2003,11,7,55.4,28.9605,-89.5935,"2_shelf","2_Lou",0,0,0,0
231,"large jellyfish",2003,11,12,12.8,30.1765,-88.492,"1_inshore","2_Lou",0,0,0,0
232,"large jellyfish",2003,11,13,30,30.0125,-88.4345,"2_shelf","2_Lou",0.0120568617286313,0.0041234467111919,0.123703401335757,0.361705851858939
233,"large jellyfish",2003,11,13,18.1,30.096,-88.408,"1_inshore","2_Lou",0,0,0,0
234,"large jellyfish",2003,11,13,15.7,30.1425,-87.987,"1_inshore","3_Fla",0.0112253540232084,0.00383907107593729,0.0602734158922155,0.176238058164372
235,"large jellyfish",2003,11,13,18.3,30.147,-88.2305,"1_inshore","2_Lou",0,0,0,0
236,"large jellyfish",2003,11,13,22.3,30.041,-88.318,"2_shelf","2_Lou",0,0,0,0
237,"large jellyfish",2003,11,13,14.4,30.153,-88.642,"1_inshore","2_Lou",0,0,0,0
238,"large jellyfish",2003,11,13,16.1,30.139,-88.683,"1_inshore","2_Lou",0,0,0,0
239,"large jellyfish",2003,11,13,14.3,29.9005,-88.7495,"1_inshore","2_Lou",0,0,0,0
240,"large jellyfish",2003,11,14,29.3,29.985,-88.4585,"2_shelf","2_Lou",0,0,0,0
242,"large jellyfish",2003,11,14,19.6,29.9725,-88.669,"1_inshore","2_Lou",0,0,0,0
243,"large jellyfish",2003,11,14,28,29.9085,-88.542,"2_shelf","2_Lou",0,0,0,0
244,"large jellyfish",2003,11,14,30.5,29.9615,-88.418,"2_shelf","2_Lou",0,0,0,0
245,"large jellyfish",2003,11,14,29.1,29.988,-88.2235,"2_shelf","2_Lou",0,0,0,0
246,"large jellyfish",2003,11,14,26,30.01,-88.154,"2_shelf","2_Lou",0,0,0,0
247,"large jellyfish",2003,11,14,33.3,29.9105,-88.087,"2_shelf","2_Lou",0.0116262595240373,0.00397618075722076,0.132406819215451,0.387154442150442
249,"large jellyfish",2003,11,15,73,29.425,-88.045,"2_shelf","2_Lou",0,0,0,0
250,"large jellyfish",2003,11,15,64,29.426,-88.0455,"2_shelf","2_Lou",0,0,0,0
251,"large jellyfish",2003,11,15,109.9,29.32,-88.0715,"2_shelf","2_Lou",0,0,0,0
252,"large jellyfish",2003,11,15,99,29.2525,-88.4815,"2_shelf","2_Lou",0,0,0,0
253,"large jellyfish",2003,11,15,82.3,29.279,-88.359,"2_shelf","2_Lou",0,0,0,0
254,"large jellyfish",2003,11,16,104,29.252,-88.4805,"2_shelf","2_Lou",0,0,0,0
255,"large jellyfish",2003,11,16,72.8,29.2715,-88.5465,"2_shelf","2_Lou",0,0,0,0
256,"large jellyfish",2003,11,16,159,29.0865,-88.768,"2_shelf","2_Lou",0,0,0,0
257,"large jellyfish",2003,11,16,73.7,29.082,-88.922,"2_shelf","2_Lou",0,0,0,0
258,"large jellyfish",2003,11,16,51.2,29.1005,-88.9505,"2_shelf","2_Lou",0,0,0,0
259,"large jellyfish",2003,11,16,54,29.131,-88.9245,"2_shelf","2_Lou",0,0,0,0
260,"large jellyfish",2003,11,16,80.7,29.14,-88.84,"2_shelf","2_Lou",0,0,0,0
261,"large jellyfish",2003,11,16,24.7,29.3655,-88.8855,"2_shelf","2_Lou",0,0,0,0
262,"large jellyfish",2003,11,16,45.9,29.325,-88.841,"2_shelf","2_Lou",0,0,0,0
263,"large jellyfish",2003,11,17,34.7,29.3635,-88.8275,"2_shelf","2_Lou",0,0,0,0
264,"large jellyfish",2003,11,17,40.4,29.39,-88.769,"2_shelf","2_Lou",0,0,0,0
265,"large jellyfish",2003,11,17,19.9,29.461,-88.784,"1_inshore","2_Lou",0,0,0,0
266,"large jellyfish",2003,11,17,37.5,29.488,-88.643,"2_shelf","2_Lou",0,0,0,0
267,"large jellyfish",2003,11,17,50.1,29.534,-88.506,"2_shelf","2_Lou",0,0,0,0
270,"large jellyfish",2003,11,17,27,29.609,-88.5925,"2_shelf","2_Lou",0,0,0,0
271,"large jellyfish",2003,11,17,33.8,29.5345,-88.6075,"2_shelf","2_Lou",0,0,0,0
272,"large jellyfish",2003,11,17,54.9,29.374,-88.7085,"2_shelf","2_Lou",0,0,0,0
273,"large jellyfish",2003,11,17,38.8,29.401,-88.7575,"2_shelf","2_Lou",0,0,0,0
274,"large jellyfish",2003,11,17,13,29.6935,-88.808,"1_inshore","2_Lou",0,0,0,0
275,"large jellyfish",2003,11,17,13,29.7555,-88.7805,"1_inshore","2_Lou",0,0,0,0
276,"large jellyfish",2003,11,18,21.6,29.773,-88.6345,"2_shelf","2_Lou",0,0,0,0
277,"large jellyfish",2003,11,18,24,29.7835,-88.618,"2_shelf","2_Lou",0,0,0,0
278,"large jellyfish",2003,11,18,30.5,29.754,-88.541,"2_shelf","2_Lou",0,0,0,0
279,"large jellyfish",2003,11,18,60.9,29.7835,-88.4875,"2_shelf","2_Lou",0,0,0,0
380,"large jellyfish",1996,10,28,20.5,30.1265,-88.2705,"2_shelf","2_Lou",0,0,0,0
381,"large jellyfish",1996,10,28,19,30.143,-88.321,"1_inshore","2_Lou",0,0,0,0
382,"large jellyfish",1996,10,28,11.2,30.1835,-88.384,"1_inshore","2_Lou",0.0108511755557682,0.00414514906230344,0.0464256694977985,0.121533166224604
383,"large jellyfish",1996,10,30,9.1,30.2205,-88.2665,"1_inshore","2_Lou",0,0,0,0
384,"large jellyfish",1996,10,30,6,30.1945,-88.329,"1_inshore","2_Lou",0,0,0,0
385,"large jellyfish",1996,10,30,25.8,30.0175,-88.434,"2_shelf","2_Lou",0,0,0,0
386,"large jellyfish",1996,10,30,23,30.0505,-88.2335,"2_shelf","2_Lou",0,0,0,0
387,"large jellyfish",1999,6,7,5,29.6415,-93.8925,"1_inshore","2_Lou",0,0,0,0
388,"large jellyfish",1999,6,7,11,29.5935,-93.7285,"1_inshore","2_Lou",0,0,0,0
389,"large jellyfish",1999,6,7,12,29.575,-93.781,"1_inshore","2_Lou",0,0,0,0
390,"large jellyfish",1999,6,7,11.3,29.5745,-93.828,"1_inshore","2_Lou",0,0,0,0
391,"large jellyfish",1999,6,7,12.3,29.541,-93.844,"1_inshore","2_Lou",0,0,0,0
392,"large jellyfish",1999,6,7,12.3,29.525,-93.8605,"1_inshore","2_Lou",0,0,0,0
393,"large jellyfish",1999,6,7,7.3,29.5925,-93.93,"1_inshore","2_Lou",0,0,0,0
394,"large jellyfish",1999,6,7,11,29.543,-93.962,"1_inshore","2_Lou",0,0,0,0
395,"large jellyfish",1999,6,16,8,29.661,-93.776,"1_inshore","2_Lou",0,0,0,0
396,"large jellyfish",1999,6,16,8.4,29.659,-93.7575,"1_inshore","2_Lou",0,0,0,0
397,"large jellyfish",1999,6,16,7,29.6945,-93.7405,"1_inshore","2_Lou",0,0,0,0
398,"large jellyfish",1999,6,16,6,29.707,-93.7265,"1_inshore","2_Lou",0,0,0,0
399,"large jellyfish",1999,6,16,8,29.675,-93.7245,"1_inshore","2_Lou",0,0,0,0
400,"large jellyfish",1999,6,16,8,29.6755,-93.694,"1_inshore","2_Lou",0,0,0,0
401,"large jellyfish",1999,6,16,9.3,29.6255,-93.742,"1_inshore","2_Lou",0,0,0,0
402,"large jellyfish",1999,6,16,11,29.5925,-93.7095,"1_inshore","2_Lou",0,0,0,0
504,"large jellyfish",1997,6,4,16.8,30.152,-88.0185,"1_inshore","2_Lou",0,0,0,0
505,"large jellyfish",1997,6,4,15.2,30.182,-88.3105,"1_inshore","2_Lou",0,0,0,0
506,"large jellyfish",1997,6,4,20.1,30.0755,-88.422,"2_shelf","2_Lou",0,0,0,0
507,"large jellyfish",1997,6,4,24.3,30.0345,-88.461,"2_shelf","2_Lou",0,0,0,0
508,"large jellyfish",1997,6,4,34.7,29.8815,-88.3375,"2_shelf","2_Lou",0,0,0,0
