OBJECTID,Join_Count,join_dist,TARGET_FID,agg_grp,year,month,day,stationid,use_pop_de,use_biomas,depth_m,biomass_de,pop_den_no,decslat_ct,decslon_ct,FID_jelly_,FID_jelly1,agg_grp_1,year_1,month_1,day_1,stationid_,use_pop__1,use_biom_1,depth_m_1,biomass__1,pop_den__1,decslat__1,decslon__1,agg_grp_12,year_12,month_12,day_12,stationi_1,use_pop__2,use_biom_2,depth_m_12,biomass__2,pop_den__2,decslat__2,decslon__2
11,1,800.558828198521610,11,large jellyfish,1987,7,10,19137,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.216999999999999,-88.167000000000002,,,,,,,,,,,,,,,large jellyfish,1984,6,10,67421,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,30.222000000000001,-88.173000000000002
12,1,1238.578816859186000,12,large jellyfish,1987,7,10,19138,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.178000000000001,-87.975999999999999,,,,,,,,,,,,,,,large jellyfish,1982,6,9,57607,0.000000000000000,0.000000000000000,14.600000000000000,0.000000000000000,0.000000000000000,30.172999999999998,-87.987499999999997
13,1,3772.437163508288000,13,large jellyfish,1987,7,10,19139,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.219999999999999,-87.989000000000004,,,,,,,,,,,,,,,large jellyfish,2006,6,15,79089,0.000000000000000,0.000000000000000,9.100000000000000,0.000000000000000,0.000000000000000,30.190999999999999,-88.009500000000003
14,1,1016.115862847832000,14,large jellyfish,1987,7,10,19140,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.221000000000000,-87.885000000000005,,,,,,,,,,,,,,,large jellyfish,1986,7,16,56924,0.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,30.212000000000000,-87.887000000000000
15,1,1224.969802795499200,15,large jellyfish,1987,7,10,19141,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.242000000000001,-87.677000000000007,,,,,,,,,,,,,,,large jellyfish,1989,6,7,33506,0.000000000000000,0.000000000000000,7.300000000000000,0.000000000000000,0.000000000000000,30.232500000000002,-87.670500000000004
16,1,1145.569160625488600,16,large jellyfish,1987,7,10,19142,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.222000000000001,-87.890000000000001,,,,,,,,,,,,,,,large jellyfish,1986,7,16,56924,0.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,30.212000000000000,-87.887000000000000
17,1,894.354408681426780,17,large jellyfish,1987,7,10,19143,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.222999999999999,-87.920000000000002,,,,,,,,,,,,,,,large jellyfish,1988,7,12,34549,0.135639694447102,0.003689399688961,11.000000000000000,0.040583396578573,1.492036638918120,30.221000000000000,-87.929000000000002
18,1,2304.966668491325400,18,large jellyfish,1987,7,10,19144,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.169000000000000,-87.953000000000003,,,,,,,,,,,,,,,large jellyfish,2014,6,29,207008,0.000000000000000,0.000000000000000,14.000000000000000,0.000000000000000,0.000000000000000,30.148499999999999,-87.948999999999998
19,1,486.784868088402330,19,large jellyfish,1987,7,15,19145,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.187999999999999,-88.488000000000000,,,,,,,,,,,,,,,large jellyfish,2014,10,3,208602,12.942493026516200,4.426332615068540,10.100000000000000,44.705959412192300,130.719179567814000,30.190000000000001,-88.492500000000007
20,1,724.055250188629660,20,large jellyfish,1987,7,15,19146,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.236000000000001,-88.224000000000004,,,,,,,,,,,,,,,large jellyfish,2007,10,9,142726,0.000000000000000,0.000000000000000,9.300000000000001,0.000000000000000,0.000000000000000,30.235499999999998,-88.216499999999996
21,1,309.407246631848640,21,large jellyfish,1987,7,15,19147,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.204000000000001,-88.302000000000007,,,,,,,,,,,,,,,large jellyfish,1991,6,3,2494,0.000000000000000,0.000000000000000,9.100000000000000,0.000000000000000,0.000000000000000,30.202999999999999,-88.305000000000007
22,1,498.852694135159250,22,large jellyfish,1987,7,15,19148,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.222000000000001,-88.316000000000003,,,,,,,,,,,,,,,large jellyfish,2001,10,23,50526,0.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,30.217500000000001,-88.316000000000003
23,1,3178.479510721092100,23,large jellyfish,1987,10,28,19150,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.166000000000000,-87.787999999999997,,,,,,,,,,,,,,,large jellyfish,2009,7,16,205461,62.285747690109297,21.301725710017401,15.000000000000000,319.525885650260990,934.286215351639040,30.172999999999998,-87.756000000000000
24,1,1495.171599519820100,24,large jellyfish,1987,10,28,19151,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.187000000000001,-87.552999999999997,,,,,,,,,,,,,,,large jellyfish,1986,7,16,56922,0.000000000000000,0.000000000000000,18.300000000000001,0.000000000000000,0.000000000000000,30.195000000000000,-87.540499999999994
25,1,2845.336348737174400,25,large jellyfish,1987,10,28,19152,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.271000000000001,-87.533000000000001,,,,,,,,,,,,,,,large jellyfish,1985,10,15,67437,0.000000000000000,0.000000000000000,9.100000000000000,0.000000000000000,0.000000000000000,30.250000000000000,-87.549999999999997
26,1,944.809083118973830,26,large jellyfish,1987,10,28,19153,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.263999999999999,-87.575999999999993,,,,,,,,,,,,,,,large jellyfish,1988,6,16,34534,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,30.258500000000002,-87.568500000000000
27,1,1110.597819031596100,27,large jellyfish,1987,10,28,19154,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.257000000000001,-87.593000000000004,,,,,,,,,,,,,,,large jellyfish,1989,6,7,33505,0.000000000000000,0.000000000000000,9.100000000000000,0.000000000000000,0.000000000000000,30.251999999999999,-87.602999999999994
28,1,2691.453807120003600,28,large jellyfish,1987,10,28,19155,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.170000000000002,-87.790999999999997,,,,,,,,,,,,,,,large jellyfish,2011,11,1,208742,1.802964553881480,0.443271713890004,11.199999999999999,4.964643195568050,20.193203003472600,30.192499999999999,-87.801500000000004
29,1,1236.422358540714000,29,large jellyfish,1987,11,2,19156,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.238000000000000,-88.129000000000005,,,,,,,,,,,,,,,large jellyfish,1991,10,17,2524,0.021702351111536,0.012250977202462,11.000000000000000,0.134760749227085,0.238725862226899,30.231000000000002,-88.138999999999996
30,1,703.504585800241780,30,large jellyfish,1987,11,2,19157,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.216000000000001,-88.116000000000000,,,,,,,,,,,,,,,large jellyfish,2003,10,21,71073,0.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,30.221000000000000,-88.111500000000007
31,1,294.194171669473920,31,large jellyfish,1985,3,5,2045,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.183000000000000,-88.578000000000003,,,,,,,,,,,,,,,large jellyfish,1983,10,24,63317,0.234385392004592,0.064976839227940,12.800000000000001,0.831703542117630,3.000133017658780,30.183499999999999,-88.575000000000003
32,1,1370.657496604237200,32,large jellyfish,1985,3,5,2046,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.196999999999999,-88.763000000000005,,,,,,,,,,,,,,,large jellyfish,2004,10,18,39998,0.000000000000000,0.000000000000000,10.800000000000001,0.000000000000000,0.000000000000000,30.207999999999998,-88.756500000000003
33,1,110.854661657474940,33,large jellyfish,1985,3,5,2047,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.132000000000001,-88.855000000000004,,,,,,,,,,,,,,,large jellyfish,1985,6,14,60356,0.000000000000000,0.000000000000000,12.800000000000001,0.000000000000000,0.000000000000000,30.131000000000000,-88.855000000000004
34,1,2195.761742448027200,34,large jellyfish,1985,3,6,2048,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.135000000000002,-88.905000000000001,,,,,,,,,,,,,,,large jellyfish,1987,7,20,61690,0.000000000000000,0.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,30.115500000000001,-88.909000000000006
35,1,457.413278926498380,35,large jellyfish,1985,3,6,2049,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.103999999999999,-88.902000000000001,,,,,,,,,,,,,,,large jellyfish,2004,6,14,81963,0.000000000000000,0.000000000000000,14.600000000000000,0.000000000000000,0.000000000000000,30.108000000000001,-88.900835000000001
36,1,1953.813184484933100,36,large jellyfish,1985,3,6,2050,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.090000000000000,-88.822999999999993,,,,,,,,,,,,,,,large jellyfish,1997,6,8,61369,0.000000000000000,0.000000000000000,11.900000000000000,0.000000000000000,0.000000000000000,30.074000000000002,-88.814499999999995
37,1,1036.515200490953000,37,large jellyfish,1985,3,6,2051,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.058000000000000,-88.805000000000007,,,,,,,,,,,,,,,large jellyfish,2007,10,13,208536,0.076596533334834,0.020202335667063,10.199999999999999,0.206063823804037,0.781284640015308,30.056000000000001,-88.815500000000000
38,1,589.278531636720340,38,large jellyfish,1985,3,6,2052,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.027999999999999,-88.766999999999996,,,,,,,,,,,,,,,large jellyfish,1999,6,13,61496,0.000000000000000,0.000000000000000,12.800000000000001,0.000000000000000,0.000000000000000,30.027000000000001,-88.772999999999996
39,1,630.479114253154310,39,large jellyfish,1985,3,6,2053,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.062999999999999,-88.751999999999995,,,,,,,,,,,,,,,large jellyfish,2006,6,15,83924,0.000000000000000,0.000000000000000,14.600000000000000,0.000000000000000,0.000000000000000,30.057500000000001,-88.750335000000007
40,1,1000.875608834681300,40,large jellyfish,1985,3,6,2054,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.074999999999999,-88.701999999999998,,,,,,,,,,,,,,,large jellyfish,2008,6,3,208510,0.000000000000000,0.000000000000000,16.600000000000001,0.000000000000000,0.000000000000000,30.079499999999999,-88.710999999999999
41,1,1398.748376316580600,41,large jellyfish,1985,3,6,2055,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.100000000000001,-88.626999999999995,,,,,,,,,,,,,,,large jellyfish,2011,6,5,201491,0.000000000000000,0.000000000000000,16.500000000000000,0.000000000000000,0.000000000000000,30.099499999999999,-88.641499999999994
42,1,293.745930907101130,42,large jellyfish,1985,3,6,2056,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.141999999999999,-88.533000000000001,,,,,,,,,,,,,,,large jellyfish,2000,6,25,14457,0.000000000000000,0.000000000000000,13.699999999999999,0.000000000000000,0.000000000000000,30.143999999999998,-88.534999999999997
43,1,1636.445852406620100,43,large jellyfish,1985,3,6,2057,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.145000000000000,-88.497000000000000,,,,,,,,,,,,,,,large jellyfish,1989,7,11,33511,0.000000000000000,0.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,30.135500000000000,-88.483999999999995
44,1,967.618344022833070,44,large jellyfish,1985,3,6,2058,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.146999999999998,-88.438000000000002,,,,,,,,,,,,,,,large jellyfish,2008,11,16,205888,0.000000000000000,0.000000000000000,15.900000000000000,0.000000000000000,0.000000000000000,30.154000000000000,-88.432000000000002
45,1,146.852033290355480,45,large jellyfish,1985,3,6,2059,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.177000000000000,-88.432000000000002,,,,,,,,,,,,,,,large jellyfish,1984,6,10,67425,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,30.175999999999998,-88.430999999999997
46,1,1012.894975811751000,46,large jellyfish,1985,3,6,2060,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.170000000000002,-88.412000000000006,,,,,,,,,,,,,,,large jellyfish,2017,5,31,211972,0.000000000000000,0.000000000000000,14.199999999999999,0.000000000000000,0.000000000000000,30.169499999999999,-88.422499999999999
47,1,892.057887339551370,47,large jellyfish,1985,3,7,2061,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.170999999999999,-88.272000000000006,,,,,,,,,,,,,,,large jellyfish,1990,11,13,36547,0.000000000000000,0.000000000000000,18.300000000000001,0.000000000000000,0.000000000000000,30.163000000000000,-88.271000000000001
48,1,2420.347200487351500,48,large jellyfish,1985,3,7,2062,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.082999999999998,-88.281999999999996,,,,,,,,,,,,,,,large jellyfish,1985,10,15,19807,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,30.081000000000000,-88.257000000000005
49,1,342.002110425697080,49,large jellyfish,1985,3,7,2063,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.065000000000001,-88.322000000000003,,,,,,,,,,,,,,,large jellyfish,1987,11,12,68498,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,30.065500000000000,-88.318500000000000
50,1,241.753907121306100,50,large jellyfish,1985,3,7,2065,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.102000000000000,-88.204999999999998,,,,,,,,,,,,,,,large jellyfish,1993,9,24,32180,0.000000000000000,0.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,30.103999999999999,-88.206000000000003
51,1,800.650263548110500,51,large jellyfish,1985,3,7,2067,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.195000000000000,-88.114999999999995,,,,,,,,,,,,,,,large jellyfish,1992,10,14,60388,0.575112304455713,0.431334228341785,9.100000000000000,3.925141477910240,5.233521970546990,30.199999999999999,-88.108999999999995
52,1,611.600368220179230,52,large jellyfish,1985,3,7,2068,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,30.111999999999998,-88.117000000000004,,,,,,,,,,,,,,,large jellyfish,1992,10,28,40312,10.731812624654699,3.937674585677150,20.100000000000001,79.147259172110694,215.709433755558990,30.117500000000000,-88.116500000000002
53,1,443.382314129266890,53,large jellyfish,1985,3,9,2104,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.593000000000000,-88.738000000000000,,,,,,,,,,,,,,,large jellyfish,1984,10,15,52504,0.000000000000000,0.000000000000000,14.600000000000000,0.000000000000000,0.000000000000000,29.588999999999999,-88.738000000000000
54,1,1207.261766140995000,54,large jellyfish,1985,3,10,2114,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.902000000000001,-88.677999999999997,,,,,,,,,,,,,,,large jellyfish,2008,6,1,208496,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,29.902000000000001,-88.665499999999994
55,1,1706.901894076522200,55,large jellyfish,1985,3,10,2115,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.887000000000000,-88.757999999999996,,,,,,,,,,,,,,,large jellyfish,2003,11,13,239,0.000000000000000,0.000000000000000,14.300000000000001,0.000000000000000,0.000000000000000,29.900500000000001,-88.749499999999998
56,1,1226.515360635932200,56,large jellyfish,1985,3,10,2116,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.739999999999998,-88.807000000000002,,,,,,,,,,,,,,,large jellyfish,1988,11,10,65367,0.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,29.730499999999999,-88.813500000000005
57,1,1277.641037756685600,57,large jellyfish,1985,3,10,2117,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.658000000000001,-88.787000000000006,,,,,,,,,,,,,,,large jellyfish,1987,10,24,36567,0.000000000000000,0.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000,29.649999999999999,-88.777500000000003
58,1,1691.174188951529500,58,large jellyfish,1985,3,10,2118,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.611999999999998,-88.810000000000002,,,,,,,,,,,,,,,large jellyfish,1988,7,8,50950,0.000000000000000,0.000000000000000,12.800000000000001,0.000000000000000,0.000000000000000,29.620500000000000,-88.824500000000000
59,1,912.018727139648720,59,large jellyfish,1985,3,10,2119,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.565000000000001,-88.840000000000003,,,,,,,,,,,,,,,large jellyfish,1995,6,12,39182,0.000000000000000,0.000000000000000,14.600000000000000,0.000000000000000,0.000000000000000,29.570499999999999,-88.832999999999998
60,1,1910.116449161736200,60,large jellyfish,1985,3,10,2120,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.548999999999999,-88.899000000000001,,,,,,,,,,,,,,,large jellyfish,1995,6,12,39181,0.000000000000000,0.000000000000000,12.300000000000001,0.000000000000000,0.000000000000000,29.551500000000001,-88.879499999999993
61,1,1358.848694449262200,61,large jellyfish,1985,3,10,2121,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.486000000000001,-88.784999999999997,,,,,,,,,,,,,,,large jellyfish,2008,11,17,205907,0.000000000000000,0.000000000000000,17.100000000000001,0.000000000000000,0.000000000000000,29.485499999999998,-88.799000000000007
62,1,1019.050768858176500,62,large jellyfish,1985,3,10,2123,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.372000000000000,-89.042000000000002,,,,,,,,,,,,,,,large jellyfish,1999,10,22,67888,0.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,29.380500000000001,-89.046000000000006
63,1,3138.802730119956800,63,large jellyfish,1985,3,10,2124,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.356999999999999,-89.027000000000001,,,,,,,,,,,,,,,large jellyfish,2017,5,30,211965,0.000000000000000,0.000000000000000,18.100000000000001,0.000000000000000,0.000000000000000,29.353000000000002,-88.995000000000005
64,1,2547.255216381796300,64,large jellyfish,1985,3,12,2149,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.917999999999999,-89.471999999999994,,,,,,,,,,,,,,,large jellyfish,2012,6,6,174571,0.000000000000000,0.000000000000000,14.600000000000000,0.000000000000000,0.000000000000000,28.936499999999999,-89.456500000000005
65,1,670.184392013988370,65,large jellyfish,1985,3,13,2166,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.146999999999998,-89.587000000000003,,,,,,,,,,,,,,,large jellyfish,1996,12,3,67925,0.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,29.145000000000000,-89.580500000000001
66,1,1974.523620529975900,66,large jellyfish,1985,3,13,2167,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.152999999999999,-89.682000000000002,,,,,,,,,,,,,,,large jellyfish,1996,7,16,59742,0.000000000000000,0.000000000000000,16.500000000000000,0.000000000000000,0.000000000000000,29.164500000000000,-89.697500000000005
67,1,1260.899033289997300,67,large jellyfish,1985,3,13,2169,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.145000000000000,-89.846999999999994,,,,,,,,,,,,,,,large jellyfish,1999,7,20,64939,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,29.148000000000000,-89.834500000000006
68,1,2004.848056106124700,68,large jellyfish,1985,3,13,2170,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.148000000000000,-89.885000000000005,,,,,,,,,,,,,,,large jellyfish,1998,11,11,19083,0.683624060013394,0.165371915469907,16.500000000000000,2.728636605253470,11.279796990221000,29.155000000000001,-89.903999999999996
69,1,489.501274498883330,69,large jellyfish,1985,3,14,2171,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.178999999999998,-89.926000000000002,,,,,,,,,,,,,,,large jellyfish,1991,11,15,37825,0.065107053334609,0.023872586222690,14.600000000000000,0.348539758851274,0.950562978685291,29.178500000000000,-89.921000000000006
70,1,1104.128220906606700,70,large jellyfish,1985,3,14,2172,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.166000000000000,-89.974000000000004,,,,,,,,,,,,,,,large jellyfish,2000,11,17,85279,0.651070533346090,0.154011857198420,11.000000000000000,1.694130429182620,7.161775866806990,29.175500000000000,-89.970585000000000
71,1,780.092164027513600,71,large jellyfish,1985,3,14,2173,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.091999999999999,-90.024000000000001,,,,,,,,,,,,,,,large jellyfish,1991,7,12,56085,0.000000000000000,0.000000000000000,16.500000000000000,0.000000000000000,0.000000000000000,29.097500000000000,-90.028999999999996
72,1,742.289488874702100,72,large jellyfish,1985,3,14,2174,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.079999999999998,-90.028999999999996,,,,,,,,,,,,,,,large jellyfish,2009,9,24,108108,0.000000000000000,0.000000000000000,18.300000000000001,0.000000000000000,0.000000000000000,29.083500000000001,-90.022499999999994
73,1,446.012978548684880,73,large jellyfish,1985,3,14,2175,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.070000000000000,-89.989999999999995,,,,,,,,,,,,,,,large jellyfish,1997,12,3,65349,0.000000000000000,0.000000000000000,18.300000000000001,0.000000000000000,0.000000000000000,29.074000000000002,-89.989500000000007
74,1,546.899045172885620,74,large jellyfish,1985,3,14,2177,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.070000000000000,-90.093000000000004,,,,,,,,,,,,,,,large jellyfish,1988,11,18,21338,0.000000000000000,0.000000000000000,16.500000000000000,0.000000000000000,0.000000000000000,29.071000000000002,-90.087500000000006
75,1,221.332621701425950,75,large jellyfish,1985,3,14,2178,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,29.035000000000000,-90.091999999999999,,,,,,,,,,,,,,,large jellyfish,1989,11,15,54214,0.000000000000000,0.000000000000000,18.300000000000001,0.000000000000000,0.000000000000000,29.036500000000000,-90.093500000000006
76,1,2313.693062982497400,76,large jellyfish,1985,3,15,2205,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.760000000000002,-90.471999999999994,,,,,,,,,,,,,,,large jellyfish,1999,10,13,61569,0.000000000000000,0.000000000000000,19.000000000000000,0.000000000000000,0.000000000000000,28.777999999999999,-90.483999999999995
77,1,3404.642006623116200,77,large jellyfish,1985,3,16,2206,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.794000000000000,-90.375000000000000,,,,,,,,,,,,,,,large jellyfish,1991,11,14,37812,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,28.765000000000001,-90.386499999999998
78,1,267.863765312379940,78,large jellyfish,1985,3,16,2212,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.888000000000002,-90.367000000000004,,,,,,,,,,,,,,,large jellyfish,2011,6,23,174517,0.000000000000000,0.000000000000000,23.800000000000001,0.000000000000000,0.000000000000000,28.888999999999999,-90.369500000000002
79,1,491.458364927001640,79,large jellyfish,1985,3,16,2213,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.965000000000000,-90.447999999999993,,,,,,,,,,,,,,,large jellyfish,1995,7,17,57230,0.000000000000000,0.000000000000000,14.600000000000000,0.000000000000000,0.000000000000000,28.963000000000001,-90.452500000000001
