"taxa","agg_grp","stationid","year","season","month","day","depth_m","decslat_ctr","decslon_ctr","subregion_depth","subregion_alongshore","use_pop_den_no_m2","use_biomass_den_kg_m2","biomass_den_kg_m3","pop_den_no_m3"
"CHRYSAORA","large jellyfish",82,2003,"fall",10,20,64,28.083,-94.837,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",83,2003,"fall",10,20,40.2,28.324,-95.1015,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",84,2003,"fall",10,20,45.5,28.2485,-95.2195,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",85,2003,"fall",10,20,73.3,28.0165,-95.1595,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",87,2003,"fall",10,21,35,28.5495,-94.613,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",88,2003,"fall",10,21,33,28.612,-94.4715,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",89,2003,"fall",10,21,26,28.7525,-94.585,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",90,2003,"fall",10,21,22,28.809,-94.5825,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",91,2003,"fall",10,21,23.8,28.875,-94.3775,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",92,2003,"fall",10,21,38,28.5115,-94.3405,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",94,2003,"fall",10,22,20.1,28.883,-94.764,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",95,2003,"fall",10,22,18.3,29.0085,-94.9555,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",96,2003,"fall",10,22,14.4,29.1535,-94.8745,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",97,2003,"fall",10,24,47.5,28.3435,-94.3145,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",102,2003,"fall",10,24,48.3,28.314,-94.357,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",106,2003,"fall",10,24,82.5,27.986,-94.4855,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",107,2003,"fall",10,24,109.7,27.8975,-94.1055,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",109,2003,"fall",10,25,93.3,27.915,-94.171,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",110,2003,"fall",10,25,90.9,27.9425,-94.067,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",111,2003,"fall",10,25,82.3,28.0125,-94.305,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",112,2003,"fall",10,25,34.9,28.5965,-93.8925,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",113,2003,"fall",10,25,22.3,28.9225,-94.1335,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",114,2003,"fall",10,25,18.3,28.9885,-94.1045,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",115,2003,"fall",10,25,24.1,28.931,-93.878,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",116,2003,"fall",10,26,21.8,28.9475,-93.932,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",117,2003,"fall",10,26,31.1,28.6565,-93.716,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",118,2003,"fall",10,26,24,28.831,-93.508,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",119,2003,"fall",10,26,21,29.02,-93.829,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",121,2003,"fall",10,26,18.1,29.137,-93.9315,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",124,2003,"fall",10,26,17,29.3435,-93.432,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",125,2003,"fall",10,27,15,29.2685,-93.529,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",126,2003,"fall",10,27,20,29.186,-93.393,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",128,2003,"fall",10,27,33,28.66,-93.398,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",129,2003,"fall",10,27,34,28.6505,-93.41,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",130,2003,"fall",10,27,30.9,28.6725,-93.4075,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",132,2003,"fall",10,27,50.8,28.4355,-93.393,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",133,2003,"fall",10,27,40,28.523,-93.631,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",134,2003,"fall",10,27,45.4,28.4965,-93.6915,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",135,2003,"fall",10,28,67.7,28.199,-93.7225,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",139,2003,"fall",10,28,57.6,28.3355,-93.527,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",144,2003,"fall",10,28,92,28.0595,-93.403,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",145,2003,"fall",10,28,82.1,28.1395,-93.2,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",147,2003,"fall",10,29,105.3,28.041,-92.5175,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",149,2003,"fall",10,29,95,28.112,-92.294,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",150,2003,"fall",10,29,101.7,28.0755,-92.0675,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",152,2003,"fall",10,29,82.7,28.1525,-92.534,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",154,2003,"fall",10,29,67.1,28.243,-92.543,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",155,2003,"fall",10,30,64,28.2765,-92.6485,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",158,2003,"fall",10,30,39.5,28.592,-93.1005,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",159,2003,"fall",10,30,26.3,28.9055,-93.178,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",160,2003,"fall",10,30,21.9,29.142,-92.7945,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",161,2003,"fall",10,30,12.6,29.4985,-92.718,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",162,2003,"fall",10,30,11,29.58,-92.8695,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",163,2003,"fall",10,31,20.3,29.1735,-92.95,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",164,2003,"fall",10,31,25.1,28.913,-92.904,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",165,2003,"fall",10,31,36.2,28.656,-92.8355,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",166,2003,"fall",10,31,54,28.5145,-92.4335,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",168,2003,"fall",10,31,45.7,28.557,-92.3885,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",169,2003,"fall",10,31,29,28.9005,-92.415,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",170,2003,"fall",10,31,27.4,28.937,-92.422,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",171,2003,"fall",10,31,14.1,29.125,-92.199,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",172,2003,"fall",11,1,13,29.138,-92.1075,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",173,2003,"fall",11,1,12,29.151,-92.261,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",174,2003,"fall",11,1,17,29.1705,-92.412,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",175,2003,"fall",11,1,29.3,28.9265,-92.511,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",176,2003,"fall",11,1,34.2,28.786,-92.471,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",177,2003,"fall",11,1,27.8,28.91,-92.2445,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",178,2003,"fall",11,1,36,28.75,-92.2735,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",180,2003,"fall",11,1,31.5,28.73,-91.831,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",181,2003,"fall",11,1,34.9,28.651,-91.7045,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",182,2003,"fall",11,2,40,28.543,-91.4095,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",183,2003,"fall",11,2,62,28.336,-91.151,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",184,2003,"fall",11,2,82.3,28.226,-91.018,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",186,2003,"fall",11,2,112,28.1055,-91.1075,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",187,2003,"fall",11,2,91.8,28.1855,-91.4375,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",189,2003,"fall",11,2,112,28.115,-91.3955,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",190,2003,"fall",11,2,55,28.4345,-91.4195,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",191,2003,"fall",11,3,33.5,28.537,-91.14,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",192,2003,"fall",11,3,24,28.601,-91.0565,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",193,2003,"fall",11,3,25.6,28.648,-91.2855,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",194,2003,"fall",11,3,11,28.892,-91.3255,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",196,2003,"fall",11,3,18.1,28.9755,-91.767,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",197,2003,"fall",11,3,15,28.993,-91.654,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",198,2003,"fall",11,3,12,28.79,-91.1885,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",199,2003,"fall",11,3,20.3,28.688,-91.248,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",200,2003,"fall",11,3,64,28.338,-91.117,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",201,2003,"fall",11,4,73.3,28.261,-90.892,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",202,2003,"fall",11,4,45,28.3985,-90.725,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",203,2003,"fall",11,4,35,28.4945,-90.927,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",204,2003,"fall",11,4,29.6,28.5515,-91.03,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",205,2003,"fall",11,4,21,28.617,-90.9345,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",206,2003,"fall",11,4,18.1,28.647,-90.8605,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",207,2003,"fall",11,4,16.5,28.6755,-91.0665,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",208,2003,"fall",11,4,24,28.6065,-91.094,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",209,2003,"fall",11,4,33.1,28.5065,-90.7955,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",210,2003,"fall",11,4,38,28.4715,-90.7875,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",211,2003,"fall",11,4,40.1,28.446,-90.7445,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",212,2003,"fall",11,5,22,28.643,-90.479,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",213,2003,"fall",11,5,16,28.889,-90.653,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",214,2003,"fall",11,5,17,28.882,-90.642,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",215,2003,"fall",11,5,12.6,28.984,-90.4475,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",216,2003,"fall",11,5,14,29.1175,-90.0675,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",217,2003,"fall",11,5,29,28.771,-90.2515,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",218,2003,"fall",11,5,45,28.7325,-90.0785,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",219,2003,"fall",11,5,74.2,28.769,-89.823,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",220,2003,"fall",11,6,136,28.6835,-89.994,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",221,2003,"fall",11,6,32,28.754,-90.2395,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",222,2003,"fall",11,6,28.2,29.054,-89.885,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",223,2003,"fall",11,6,29.3,29.042,-89.875,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",224,2003,"fall",11,6,26,29.1015,-89.803,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",225,2003,"fall",11,6,22.1,29.1275,-89.8255,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",226,2003,"fall",11,6,79.9,28.812,-89.6225,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",229,2003,"fall",11,6,44,28.976,-89.559,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",230,2003,"fall",11,7,55.4,28.9605,-89.5935,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",231,2003,"fall",11,12,12.8,30.1765,-88.492,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",232,2003,"fall",11,13,30,30.0125,-88.4345,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",233,2003,"fall",11,13,18.1,30.096,-88.408,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",234,2003,"fall",11,13,15.7,30.1425,-87.987,"1_inshore","3_Fla",0,0,0,0
"CHRYSAORA","large jellyfish",235,2003,"fall",11,13,18.3,30.147,-88.2305,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",236,2003,"fall",11,13,22.3,30.041,-88.318,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",237,2003,"fall",11,13,14.4,30.153,-88.642,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",238,2003,"fall",11,13,16.1,30.139,-88.683,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",239,2003,"fall",11,13,14.3,29.9005,-88.7495,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",240,2003,"fall",11,14,29.3,29.985,-88.4585,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",242,2003,"fall",11,14,19.6,29.9725,-88.669,"1_inshore","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",243,2003,"fall",11,14,28,29.9085,-88.542,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",244,2003,"fall",11,14,30.5,29.9615,-88.418,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",245,2003,"fall",11,14,29.1,29.988,-88.2235,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",246,2003,"fall",11,14,26,30.01,-88.154,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",247,2003,"fall",11,14,33.3,29.9105,-88.087,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",249,2003,"fall",11,15,73,29.425,-88.045,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",250,2003,"fall",11,15,64,29.426,-88.0455,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",251,2003,"fall",11,15,109.9,29.32,-88.0715,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",252,2003,"fall",11,15,99,29.2525,-88.4815,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",253,2003,"fall",11,15,82.3,29.279,-88.359,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",254,2003,"fall",11,16,104,29.252,-88.4805,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",255,2003,"fall",11,16,72.8,29.2715,-88.5465,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",256,2003,"fall",11,16,159,29.0865,-88.768,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",257,2003,"fall",11,16,73.7,29.082,-88.922,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",258,2003,"fall",11,16,51.2,29.1005,-88.9505,"2_shelf","2_Lou",0,0,0,0
"CHRYSAORA","large jellyfish",259,2003,"fall",11,16,54,29.131,-88.9245,"2_shelf","2_Lou",0,0,0,0
